"Sector" "Source" "Month" "EmissCO2_MillMetricTons" "EnerCons_TrillBTU" "IPI" "MPI"
"228" "Commercial" "Coal" 1991-12-01 1.585 16.455 61.806 58.3786
"229" "Commercial" "Coal" 1992-01-01 1.347 13.924 61.4823 58.0666
"230" "Commercial" "Coal" 1992-02-01 1.067 11.03 61.9192 58.6297
"231" "Commercial" "Coal" 1992-03-01 0.964 9.962 62.4403 59.2545
"232" "Commercial" "Coal" 1992-04-01 0.975 10.082 62.9199 59.5935
"233" "Commercial" "Coal" 1992-05-01 0.588 6.081 63.1268 59.9495
"234" "Commercial" "Coal" 1992-06-01 0.542 5.601 63.1624 60.1489
"235" "Commercial" "Coal" 1992-07-01 0.869 8.989 63.7348 60.7158
"236" "Commercial" "Coal" 1992-08-01 0.721 7.451 63.3802 60.4337
"237" "Commercial" "Coal" 1992-09-01 0.675 6.978 63.5834 60.5368
"238" "Commercial" "Coal" 1992-10-01 0.673 6.96 64.0178 60.9187
"239" "Commercial" "Coal" 1992-11-01 1.177 12.164 64.2628 61.1649
"240" "Commercial" "Coal" 1992-12-01 1.678 17.347 64.3599 61.1059
"241" "Commercial" "Coal" 1993-01-01 1.196 12.473 64.6135 61.6691
"242" "Commercial" "Coal" 1993-02-01 1.16 12.095 64.9262 61.8348
"243" "Commercial" "Coal" 1993-03-01 0.929 9.685 64.8627 61.7074
"244" "Commercial" "Coal" 1993-04-01 1.109 11.567 65.0423 62.0225
"245" "Commercial" "Coal" 1993-05-01 0.584 6.088 64.8006 61.9671
"246" "Commercial" "Coal" 1993-06-01 0.756 7.884 64.9476 61.8618
"247" "Commercial" "Coal" 1993-07-01 0.768 8.002 65.1142 62.0243
"248" "Commercial" "Coal" 1993-08-01 0.69 7.197 65.0421 61.9303
"249" "Commercial" "Coal" 1993-09-01 0.521 5.436 65.3749 62.386
"250" "Commercial" "Coal" 1993-10-01 0.699 7.284 65.863 62.9301
"251" "Commercial" "Coal" 1993-11-01 1.174 12.234 66.1696 63.2253
"252" "Commercial" "Coal" 1993-12-01 1.665 17.357 66.5531 63.6417
"253" "Commercial" "Coal" 1994-01-01 1.605 16.776 66.7591 63.7145
"254" "Commercial" "Coal" 1994-02-01 1.258 13.146 66.8019 63.8211
"255" "Commercial" "Coal" 1994-03-01 0.926 9.681 67.4704 64.6741
"256" "Commercial" "Coal" 1994-04-01 0.855 8.936 67.8707 65.2646
"257" "Commercial" "Coal" 1994-05-01 0.628 6.569 68.187 65.6979
"258" "Commercial" "Coal" 1994-06-01 0.748 7.819 68.645 65.937
"259" "Commercial" "Coal" 1994-07-01 0.857 8.954 68.7317 66.2287
"260" "Commercial" "Coal" 1994-08-01 0.736 7.697 69.1882 66.7752
"261" "Commercial" "Coal" 1994-09-01 0.541 5.655 69.3935 67.0274
"262" "Commercial" "Coal" 1994-10-01 0.634 6.629 69.9576 67.7115
"263" "Commercial" "Coal" 1994-11-01 1.016 10.62 70.4288 68.272
"264" "Commercial" "Coal" 1994-12-01 1.496 15.636 71.1273 69.033
"265" "Commercial" "Coal" 1995-01-01 1.228 12.816 71.2635 69.16
"266" "Commercial" "Coal" 1995-02-01 1.103 11.516 71.1758 68.9793
"267" "Commercial" "Coal" 1995-03-01 0.826 8.621 71.2796 69.1652
"268" "Commercial" "Coal" 1995-04-01 0.865 9.028 71.1538 68.972
"269" "Commercial" "Coal" 1995-05-01 0.561 5.851 71.4997 69.2195
"270" "Commercial" "Coal" 1995-06-01 0.563 5.874 71.7327 69.5431
"271" "Commercial" "Coal" 1995-07-01 0.331 3.458 71.4334 69.0864
"272" "Commercial" "Coal" 1995-08-01 0.711 7.423 72.3723 69.9233
"273" "Commercial" "Coal" 1995-09-01 1.005 10.494 72.6543 70.5596
"274" "Commercial" "Coal" 1995-10-01 0.649 6.778 72.5336 70.5066
"275" "Commercial" "Coal" 1995-11-01 1.376 14.361 72.717 70.5872
"276" "Commercial" "Coal" 1995-12-01 1.971 20.569 72.9638 70.8701
"277" "Commercial" "Coal" 1996-01-01 1.348 14.123 72.5712 70.421
"278" "Commercial" "Coal" 1996-02-01 1.118 11.709 73.6207 71.4703
"279" "Commercial" "Coal" 1996-03-01 1.017 10.652 73.5141 71.2897
"280" "Commercial" "Coal" 1996-04-01 0.959 10.051 74.2491 72.1857
"281" "Commercial" "Coal" 1996-05-01 0.736 7.714 74.8142 72.78
"282" "Commercial" "Coal" 1996-06-01 0.626 6.558 75.3726 73.5011
"283" "Commercial" "Coal" 1996-07-01 0.856 8.964 75.3738 73.8345
"284" "Commercial" "Coal" 1996-08-01 0.819 8.584 75.7557 74.1465
"285" "Commercial" "Coal" 1996-09-01 0.647 6.774 76.2302 74.764
"286" "Commercial" "Coal" 1996-10-01 0.66 6.919 76.2157 74.651
"287" "Commercial" "Coal" 1996-11-01 1.282 13.435 76.8973 75.3157
"288" "Commercial" "Coal" 1996-12-01 1.54 16.13 77.3772 75.9375
"289" "Commercial" "Coal" 1997-01-01 1.573 16.567 77.5135 76.0186
"290" "Commercial" "Coal" 1997-02-01 1.143 12.046 78.4255 77.0573
"291" "Commercial" "Coal" 1997-03-01 0.969 10.205 78.9197 77.8413
"292" "Commercial" "Coal" 1997-04-01 1.093 11.514 78.9848 77.7352
"293" "Commercial" "Coal" 1997-05-01 0.721 7.593 79.4296 78.3054
"294" "Commercial" "Coal" 1997-06-01 0.643 6.771 79.7971 78.787
"295" "Commercial" "Coal" 1997-07-01 0.953 10.036 80.4666 79.3651
"296" "Commercial" "Coal" 1997-08-01 0.818 8.616 81.2825 80.3864
"297" "Commercial" "Coal" 1997-09-01 0.686 7.226 82.0327 81.1045
"298" "Commercial" "Coal" 1997-10-01 0.733 7.719 82.7656 81.8382
"299" "Commercial" "Coal" 1997-11-01 1.25 13.167 83.427 82.7018
"300" "Commercial" "Coal" 1997-12-01 1.702 17.931 83.784 83.1467
